Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F7.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F1.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F4.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\HeLa-1-std-500ng.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n1-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F5.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F6.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F3.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F2.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\HeLa-2-std-500ng.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n1-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n2-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\HeLa-3-std-500ng.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\HeLa-4-std-500ng.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F8.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n2-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-whel-n3-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F9.mzML	F:\Julia\wheldone-DIFFPOP\04-19-24\OV3-DMSO-n3-F7.mzML
A0A087WWU8	A0A087WWU8		TPM3		8.20971e+07	2.83927e+07	8.63756e+07	6.26115e+07	6.09832e+07	5.72386e+07	1.79642e+07	4.49291e+07	1.0686e+07	1.78589e+07	2.05374e+07	1.87882e+07	7.01174e+07	2.00001e+07	9.26287e+06	4.57113e+06	1.20806e+07	7.86239e+06	1.08723e+07	4.8497e+07	7.44476e+07	1.25714e+07	3.83752e+06	5.84485e+06	4.67416e+07	2.80286e+06	3.70751e+06	3.25192e+07	3.4779e+07	3.26054e+06	5.72885e+06	6.43638e+06	1.37125e+07	3.62633e+07	7.75993e+07	4.72894e+07	3.80794e+07	5.11795e+06	5.57227e+07	3.19834e+07	9.03029e+06	3.66185e+06	4.39475e+06	4.46348e+06	1.98403e+07	1.07942e+07	1.32665e+07	2.72352e+07	8.86947e+06	7.49765e+06	3.93392e+07	3.0474e+07	2.24599e+07	4.33992e+07	8.72084e+06	3.20597e+07	3.13784e+07	
A0A087WY03	A0A087WY03		SREK1		618953	548872	374800	490779	436236	315930		504608	449132				297403		520472	312264	663162		426994			498283		785316	204332	128595			749606	184024		468408	638688	415755	267511		204241		333593	474135		453443			924643	1.07236e+06	651819				407026	159229						
A0A087WYP7	A0A087WYP7		TBL3				202580																										823255																													
A0A087WYS1	A0A087WYS1		UGP2														1.7464e+06		199004	647470			285744					256424	2.21242e+06	571353			307655	341013		3.17172e+06	281468	440366	1.01494e+06		1.28469e+06	2.12899e+06	1.88696e+06	626475		810902			381905	510265	422431					1.0182e+06						
A0A087WZ13	A0A087WZ13		RAVER1		880016	948039	935578	807642	816726	855276		921566	635562			249929	105025		250776		639654		420314			620740		360095	172430	19982.8			510244			34432	570057	349625	148497				190112	595636					371368	541079	407374	526637			596289	868259						
A0A087X060	A0A087X060		EAPP		532430	432696	394379	403205	338124	264814		315087	278657						138246		268716		124235			295701		127352					198724				199193	58583.6											55648.9	301904												
A0A087X0K9	A0A087X0K9		TJP1		886751	657960	853846	572546	512692	689736	1.34493e+07	584910	592558	1.40305e+07	1.44926e+07	1.07159e+07	396127	1.14316e+07	705266	215975	735475	1.59619e+06	715355	9.16488e+07	1.40096e+08	857683	669802	612633	307273	343879	1.08838e+06	9.41176e+07	641307	204199	1.13311e+06	161609	571241	655322	408601	7.32088e+07	328924	209821	318841	470306	1.52631e+08	212256	1.39787e+06	862612	708616	851276	680357	400143	1.6438e+08	1.59302e+08	306810	410248	6.42859e+07	1.34972e+08	1.47526e+08	1.16348e+08	5.86815e+08	2.54308e+08
A0A087X0M4	A0A087X0M4		SLC4A1AP		426954	215864	295882	199343	169651	185705	1.34256e+06	163904	119818	2.18085e+06			1.15973e+06		240006	61858.5	86778		231495			134774	115101	177237	951476	55601.5	34292.5		146482	62207.1		269337	104382	381706	1.16162e+06		1.07679e+06	80052.9	1.03453e+06	375429		51496.5			272337	88364.9	127301	357682			378086	399240						
A0A087X0W7	A0A087X0W7		ACOT2						86446.4	114202											115106		55654							201523						342524			64147.3							332205																
A0A087X1S3	A0A087X1S3		HUWE1			279649		282853	321644			321955	421636				351001		585804		423029		569658			427246		600234	304495				410201				487315	397644	628145		146532		252032						328071	270714	317007				167989	214948						
A0A087X243	A0A087X243		GSTP1					236996	291866	184957	316590		143585	548474			193291			824032	173329	827955				212591	2.16733e+06		242666	1.50639e+06	1.97865e+06		335291	2.22836e+06	2.0043e+06	632518	152525		142278		266351	945227				1.17328e+06	2.33968e+06	2.38112e+06														
A0A087X2C3	A0A087X2C3		RAP2C		512253	349244	705064	377419	542554	584653	5.24305e+06	473538	380025	3.5985e+06	3.46583e+06	3.02302e+06	142695	2.70184e+06	343346		420607	2.23729e+06	240529		7.77249e+06	377703	586245	294585		327099	1.05077e+06		324145	209536	829497		363936	223390	130102					129788		248067	733130	403001	241021	462722	348868				241738	260846						7.44778e+07
A0A087X2D8	A0A087X2D8		SPAG9		562316	321538	422972	164123	163642	262655		204968	234268				601898		525184	299093	251156		510182			262090		420451	333279	282925			245789	91040.3		320875	180618	653562	834137		197675	412646	561333	468529		351096			467081	291682	400830	455630			442665	463826						
A0A088AWN2	A0A088AWN2		WDR20			264609			455043	316406		328674	332486						328152		349364		266283			468172		344715					303233				353446	163069											245861	465824	395828											
A0A096LP25	A0A096LP25		AAK1		1.52452e+06	811010	977665	632654	744360	647449	9.8164e+06	626324	716840	6.47488e+06	7.9993e+06	5.8992e+06	469371	4.86222e+06	566398	281530	592688		600368			594909	1.36658e+06	539591	413867	251434	824873		585661	214460		327536	517806	579912	465345		464818	269588	634599	163630		186142			517307	466738	484211	263321			244492	314255						
A0A096LPI6	A0A096LPI6				6.46938e+06	5.1119e+06	6.84723e+06	6.59568e+06	6.41068e+06	6.19981e+06	9.43822e+06	5.92042e+06	5.67303e+06	1.45738e+07	9.28265e+06	8.27714e+06	5.69904e+06	7.7279e+06	6.51389e+06	4.62249e+06	5.85386e+06	6.51117e+06	7.14397e+06	2.78606e+07		5.83194e+06	4.07831e+06	6.68366e+06	5.17777e+06	2.90276e+06	2.8203e+06	2.31696e+07	6.02213e+06	4.08571e+06	4.5377e+06	5.23435e+06	5.46995e+06	7.0673e+06	7.02999e+06	3.60894e+07	6.07212e+06	3.37251e+06	5.13871e+06	3.01615e+06		3.89962e+06	3.59472e+06	3.79452e+06	5.91702e+06	7.73662e+06	7.11035e+06	3.41204e+06			4.17894e+06	4.36235e+06	2.7056e+07					1.7499e+08
A0A0A0MQT0	A0A0A0MQT0		RBP1		293402	147126	359718		333121	250091	1.98834e+07	183356	98022.2	2.2686e+07	1.83601e+07	2.04832e+07		1.83857e+07	41557.9	166017		1.19532e+07	540133			104128	2.95342e+06			125631	5.23607e+06		275310	295478	5.23346e+06	163762	134096			3.45051e+06	671977					255272	5.16039e+06	3.60682e+06			105943											4.28656e+07
A0A0A0MQU4	A0A0A0MQU4		SCLY		119964	135597	840160	101581	116975	96288.1			73921.5				69023		51600	465514	33077		86430.5				341938	118103	90284.4	403894	150657		167094	537820	105993	287896		107925	46553.2		90737.2	335408	57348.3	314928		383818		156396		92338.6	95329.4	187378			99009.9	84184.5						
A0A0A0MR08	A0A0A0MR08		USP19			34357.3		15468.7	10728.7			10133.5	31808.5						19846.3		32463.5		21967.5			29907.6		26739.4	11128.2				28551.5				30571.3	16649.5	9185.84				3966.09	33204.4					15392.9	7737.34	26824.5	17296			18485.5							
A0A0A0MR36	A0A0A0MR36		MYO5B			157661		199269	193255	194928		220292	202061						159514		235414		153637			169443		130433					137688				272864	71275											78588.2	232326	99841.1											
A0A0A0MR39	A0A0A0MR39		MYEF2		4.22887e+06	3.60229e+06	3.86762e+06	4.02332e+06	4.2079e+06	3.56977e+06	501370	3.90033e+06	3.28729e+06		481631		204636	409404	2.09195e+06		3.1247e+06		2.01231e+06			3.39801e+06	359668	2.20615e+06	136204	411828	989987		3.0512e+06	468362	376184		3.18907e+06	1.64167e+06	425325		203156	202716	282683			134610	366338	325035	1.76094e+06	2.534e+06	2.39334e+06											
A0A0A0MRI2	A0A0A0MRI2		SNX6		2.38473e+06	1.88361e+06	1.94862e+06	1.83237e+06	1.78955e+06	1.84846e+06		1.68053e+06	1.42422e+06				1.32818e+06		1.2531e+06		1.31149e+06		1.44239e+06	1.62663e+07		1.61222e+06		1.39158e+06	1.00693e+06	111112		1.44304e+07	1.51986e+06			166313	1.29676e+06	1.67773e+06	1.75252e+06		1.09407e+06	344875	1.60095e+06	1.54051e+06	2.0971e+07	58230.8			1.6969e+06	1.62218e+06	1.55843e+06	1.6728e+06			1.6739e+06	1.59395e+06						
A0A0A0MRM8	A0A0A0MRM8		MYO6		3.10925e+06	1.70698e+06	2.84811e+06	2.72798e+06	2.69826e+06	2.53459e+06		2.3634e+06	1.38777e+06	150238		116509	283192		1.2292e+06		1.45577e+06	169140	1.415e+06			1.17963e+06	133112	1.43772e+06	123061		166739		2.00837e+06		119497		1.84687e+06	1.65325e+06	726607		56770.4		266283	311894		194088	214331	113488	1.51989e+06	1.16519e+06	1.42879e+06	277208			355713	304504						
A0A0A0MRP6	A0A0A0MRP6		SMARCA1			107412						18056.5	63344.4				19417.8		57001.9		31684.4		47515.9					46978.7	9725.68								49640.5	50849.4	38694.8										30758													
A0A0A0MSA7	A0A0A0MSA7		EIF4G3		671904	455046	607300	476299	420018	495023		430988	439366				102674		318319	13743.9	466909		328065			493673		362212	72334.7	36384.2			428097				350553	296196	94290.6		72084.1		128661	408910					350275	399550	383541	313861			320979	278267						
A0A0A0MTG2	A0A0A0MTG2		DYNC1I1			680686		448008	514184	481460									1.10898e+06		703586					584020		770465	468413				520819				420211												576315													
A0A0A6YYJ8	A0A0A6YYJ8		LUC7L2		2.70274e+06	2.8584e+06	2.73796e+06	2.99294e+06	2.90423e+06	2.63491e+06	8.69697e+06	2.69334e+06	2.64939e+06	1.33799e+07	8.7319e+06	1.28815e+07	454154	9.3169e+06	1.8283e+06	4.74189e+06	2.82014e+06	3.87963e+06	1.9386e+06	1.57854e+07		3.15206e+06	2.59722e+06	1.95275e+06	1.39552e+06	4.65817e+06	938985		2.46054e+06	5.16068e+06	1.63515e+06	3.82114e+06	2.4155e+06	1.54279e+06	478520		5.3265e+06	4.46081e+06	396178	2.43744e+06		4.14292e+06	2.68335e+06	2.40548e+06	1.85968e+06	3.02582e+06	2.30584e+06	2.41914e+06			2.22338e+06	2.48978e+06						
A0A0A6YYL4	A0A0A6YYL4		CORO7-PAM16		603641	353407	616147	465787	421925	473755	4.49446e+07	586243	320368	3.5114e+07	4.57509e+07	5.14039e+07		5.54564e+07	205255	116011	419721	6.4722e+06	191959	2.17189e+07	5.09513e+07	463271	1.83066e+06	266435	109357		3.08136e+06	1.33756e+07	463644		3.2091e+06	95978.4	292918	171195	96550.2	2.61013e+07	605323		75676.3	663988		133449	1.95259e+06	1.39176e+06	317175	362613	336801	749015	1.10584e+07	6.62186e+06	774823	828032	2.71898e+07	1.98806e+07				3.19078e+08
A0A0B4J1R6	A0A0B4J1R6		TKT		278092	139205	294427	227971	294349	146344		113074								141688		2.1819e+06					181607			136604	561206		74432.5	514864	232858						122437						383820															
A0A0B4J2A2	A0A0B4J2A2		PPIAL4C		610051	386806	1.16467e+06	234865		278930			220635						179649	3.21981e+06	192748	1.93868e+06	183789				2.66617e+06		328360	4.09257e+06	4.9724e+06		514852	5.01552e+06	1.46228e+06	2.204e+06	327554	131569			673247	1.06061e+06	439883	334565		1.85977e+06		2.74247e+06		150935	209423	441254			558407	254238						
A0A0B4J2E5	A0A0B4J2E5		LOC102724159		1.08556e+06	1.18972e+06	1.07486e+06	1.13626e+06	1.15807e+06	886399		1.15182e+06	1.03189e+06				192566		960173		1.19101e+06		835780			1.06713e+06		925021					917294				1.13192e+06	678820	160661				68474.4	947422					784375	979562	884156	795895			951444	1.23732e+06						
A0A0C4DFL8	A0A0C4DFL8		KDM4B			69400.7		120084	77016.1	97769.8		115477	119824				37673.8		78823.3		105822		79920.1			91519.2		85743.1	23218.7				81367.6				94653.8	78382.8												79087.6	64893.3											
